Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Nicolas Batum,36.0,LAC,PF,7.0,0.0,24.6,1.9,4.7,0.394,1.9,4.7,0.394,0.0,0.0,,0.591,0.0,0.0,,0.6,3.3,3.9,2.0,0.9,1.7,0.4,1.9,5.6
Cason Wallace,21.0,OKC,SG,23.0,3.0,22.4,2.2,5.2,0.429,0.9,2.7,0.323,1.3,2.5,0.544,0.513,0.3,0.4,0.667,1.0,1.7,2.7,2.1,1.4,0.4,0.7,2.2,5.6
Kobe Brown,25.0,LAC,PF,3.0,0.0,5.0,2.3,2.7,0.875,0.3,0.3,1.0,2.0,2.3,0.857,0.938,0.3,0.3,1.0,0.0,0.3,0.3,1.3,0.0,0.0,0.0,0.0,5.3
Isaiah Joe,25.0,OKC,SG,21.0,0.0,10.0,1.7,3.5,0.493,1.1,2.7,0.411,0.6,0.8,0.765,0.651,0.6,0.7,0.857,0.3,1.0,1.4,0.7,0.3,0.1,0.3,0.6,5.1
Kentavious Caldwell-Pope,31.0,ORL,SG,5.0,5.0,32.6,1.6,6.0,0.267,1.2,4.6,0.261,0.4,1.4,0.286,0.367,0.6,0.8,0.75,0.2,2.8,3.0,1.8,1.4,0.6,0.4,2.2,5.0
Cory Joseph,33.0,ORL,PG,5.0,5.0,24.8,2.0,4.8,0.417,1.0,3.2,0.313,1.0,1.6,0.625,0.521,0.0,0.0,,0.2,1.6,1.8,3.0,1.0,0.4,0.4,2.0,5.0
Pelle Larsson,23.0,MIA,SG,4.0,0.0,13.0,2.0,3.8,0.533,0.8,2.0,0.375,1.3,1.8,0.714,0.633,0.3,0.8,0.333,0.5,1.8,2.3,1.0,0.3,0.0,0.5,1.5,5.0
Brook Lopez,36.0,MIL,C,5.0,4.0,14.8,1.6,4.4,0.364,0.8,3.0,0.267,0.8,1.4,0.571,0.455,1.0,1.0,1.0,0.6,1.0,1.6,0.8,0.2,1.0,0.8,2.2,5.0
Kel'el Ware,20.0,MIA,C,4.0,4.0,18.3,2.0,4.5,0.444,0.8,2.8,0.273,1.3,1.8,0.714,0.528,0.0,0.0,,1.0,3.8,4.8,1.0,0.3,0.5,0.5,0.8,4.8
Mitchell Robinson,26.0,NYK,C,18.0,4.0,20.6,1.7,2.8,0.608,0.0,0.0,,1.7,2.8,0.608,0.608,1.2,3.1,0.393,3.7,3.3,7.1,0.4,0.9,0.8,0.7,2.1,4.7
Vince Williams Jr.,24.0,MEM,SG,3.0,0.0,12.7,1.3,2.3,0.571,1.3,2.3,0.571,0.0,0.0,,0.857,0.7,0.7,1.0,0.3,2.0,2.3,1.3,0.7,0.3,1.0,1.0,4.7
Isaac Okoro,24.0,CLE,SG,9.0,0.0,14.2,1.7,3.3,0.5,0.7,1.8,0.375,1.0,1.6,0.643,0.6,0.6,0.9,0.625,0.4,0.8,1.2,0.6,0.7,0.1,0.4,1.4,4.6
Gary Payton II,32.0,GSW,SG,11.0,1.0,16.4,1.9,4.3,0.447,0.8,2.1,0.391,1.1,2.2,0.5,0.543,0.0,0.0,,0.9,1.3,2.2,1.5,0.9,0.0,0.5,1.9,4.6
Terrence Shannon Jr.,24.0,MIN,SG,9.0,0.0,6.3,1.4,3.0,0.481,0.3,0.9,0.375,1.1,2.1,0.526,0.537,1.3,1.3,1.0,0.1,1.0,1.1,0.3,0.4,0.0,0.3,1.0,4.6
